Year,RegionName,AveragePrice,12m%Change,SalesVolume,FlatPrice,Flat12m%Change,MortgagePrice,Mortgage12m%Change,FTBPrice,FTB12m%Change,FOOPrice,FOO12m%Change
2014,Lambeth,433624.91085000004,19.545246260833334,414.4166666666667,380027.7151833333,19.576513038333335,434555.7280333333,19.55891134166667,386486.5220166666,19.695527989166667,510031.6171166667,19.335069609166666
2014,Lewisham,315812.5943666667,21.1188198825,384.3333333333333,266410.44153333333,20.804735452499997,317481.79049166664,21.12112599166667,276365.20663333335,21.236660378333337,375534.7994083333,20.954388748333333
2014,Merton,419976.8252083334,21.823450835,262.25,319384.0734416667,21.663337796666667,413755.3322333333,21.8987784375,363497.38148333336,22.13762208,476841.679275,21.522046324999994
2014,Newham,258312.26291666666,15.856230654666668,253.75,245241.52621666665,15.197285391166666,256444.34479166663,15.885466522833333,252560.25575833334,15.880773803333332,263613.42017500004,15.831339266083333
2014,Redbridge,304162.4709416667,10.641452858666666,307.75,218174.497925,10.545932210666669,308533.81042500003,10.652199144666668,262840.0435166667,10.827512026666668,337808.92130833335,10.5019924945
2014,Richmond upon Thames,577055.3170916666,17.157368312583333,288.8333333333333,406492.6885583333,17.375674666166667,580865.7496000001,17.141105218499998,462443.84355000005,17.57992280191667,652827.1403666666,16.890698154916667
2014,Southwark,427767.4137666667,18.541003423333333,332.5,372131.5337916667,18.557200180833338,426647.5432166666,18.552028041666667,375246.828275,18.709889254999997,512024.16400833335,18.269024018333333
2014,Sutton,291132.0562583333,15.447836587500001,287.3333333333333,211214.353525,15.352253985000003,297512.320475,15.500040341666669,246805.60528333334,15.693584872499997,340319.0902916666,15.244195187499999
2014,Tower Hamlets,382241.6889,23.892044671666667,431.6666666666667,372340.08975833334,23.83520509,381067.30385,23.889895828333334,372013.77869999997,24.036643129166666,392465.4935833334,23.769625900833336
2014,Waltham Forest,314934.3971,23.71545968083333,297.1666666666667,255241.04057500002,23.316127153333337,314298.7895333333,23.7122384725,299908.1081166667,23.773382700833334,327912.260175,23.666321190833333
2014,Wandsworth,544515.000825,19.090674019999998,505.3333333333333,467906.00858333334,19.186735271666667,544868.2077416667,19.0765472675,475549.4822666666,19.33019169416667,629487.555,18.806110679166665
2015,Barking and Dagenham,233460.10742499997,16.114781876666665,200.41666666666666,182139.42955,15.95032836583333,234179.169975,16.0947207625,221528.6532416667,16.142821816666668,252356.41267500003,16.06508646916667
2015,Barnet,478687.94987499993,11.346728132583335,427.0833333333333,359957.749625,11.122958582916665,482442.1343583334,11.373968568833332,398257.6459833334,11.308589904916666,547297.0345083333,11.373658267583332
2015,Bexley,274209.28096666664,12.264892249833332,328.5,193484.6187916666,11.779587141166663,277566.76190833334,12.277963708500002,246164.027575,12.198559937166669,297585.7650833333,12.315954803416666
2015,Brent,440951.66538333334,11.830764753666664,260.5,355405.9649416667,11.597265682749999,441824.35118333326,11.847285884916666,375848.254275,11.781395289916665,509958.2121333334,11.871528256833335
2015,Bromley,385681.4501083333,11.095091043083334,504.5,260152.1177083333,10.839860027916666,388308.6897083333,11.090644504666665,308051.8856916667,11.143027775583333,437663.34899166663,11.066322456666663
2015,Camden,787440.9329,4.1571999355,207.25,710714.3632833333,4.22923346375,796606.4293999999,4.142033656833333,671998.2275833333,4.347529025833333,912065.8531749999,3.9743164053333344
2015,Croydon,307064.07943333336,11.800256464416664,480.5,227692.67215833333,11.536856895333331,308997.4727333333,11.771731566666666,260318.27305,11.775688990333336,361848.40969999996,11.827060274833334
2015,Ealing,438310.5197416667,9.604175027416664,305.75,353804.684225,9.396159409583333,437184.94084999996,9.611215086916667,388435.87068333337,9.629257281083332,489459.7508749999,9.581404926666666
2015,Enfield,335503.49974166666,13.952293249999999,314.25,246599.08682499998,13.8261848,339658.07790833333,13.927808647500001,295714.74317499995,13.92412426,376462.0970666667,13.9757310425
2015,Greenwich,331848.8085583333,11.293073957499999,358.4166666666667,286024.92704166664,11.163481625333333,334913.6423833333,11.310870319000001,298055.32844166673,11.241563273083331,382055.04878333333,11.364411427083335
2015,Hackney,506798.9910999999,11.103263903166665,243.5,466307.6770583333,11.056542949999999,506905.16647500003,11.123120549416669,479698.09752500005,11.102946763583335,535299.5516916666,11.101060118416667
2015,Hammersmith and Fulham,760833.6371083334,5.671107231250001,204.0,662135.5773250001,5.678426057166668,761781.6494166666,5.691355266833333,670588.5152083334,5.79395956625,828237.091075,5.5728244075
2015,Haringey,480636.0830833332,10.355997075916667,230.41666666666666,412991.2485749999,10.181930051333334,482815.46296666673,10.349003303833333,430328.76172500005,10.497426981333334,534176.2674333333,10.229179714666666
2015,Harrow,408604.42836666666,13.307199095833333,258.9166666666667,291898.644975,13.074289400833331,412703.8636333333,13.320891656666667,342981.96014166664,13.331858738333333,457114.7066166668,13.287087085000001
